PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=0.184 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=0.322 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=0.111 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=2.11 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=0.112 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=5.29 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=0.174 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=2.71 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=0.183 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=1.80 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=1.72 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=1.75 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=8.50 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=0.355 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=0.201 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=1.09 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=0.179 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=0.119 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=2.31 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=3.24 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=0.387 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=0.101 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=0.198 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=0.146 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=1.01 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=17.7 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=0.165 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=0.426 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=13.4 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=0.136 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=2.14 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=0.083 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=0.285 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=0.154 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=1.54 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=0.155 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=0.179 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=1.72 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=0.388 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=0.306 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=2.83 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=0.132 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=1.36 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=0.256 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=0.602 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=1.63 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=0.270 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=0.141 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=0.327 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=1.35 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=1.24 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=0.366 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=1.54 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=0.190 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=1.87 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=1.59 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=0.160 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=0.182 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=1.97 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=0.342 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=1.16 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=8.48 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=0.216 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=4.58 ms
