PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=0.170 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=0.373 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=0.442 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=0.168 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=0.415 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=0.281 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=0.137 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=0.235 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=0.413 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=0.417 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=0.458 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=0.378 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=0.394 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=0.371 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=6.59 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=0.397 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=0.128 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=0.607 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=0.517 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=0.459 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=0.440 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=0.571 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=0.407 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=0.444 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=0.426 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=0.141 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=0.142 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=0.361 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=0.472 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=0.389 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=0.391 ms
64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=0.405 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=0.444 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=0.383 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=0.135 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=12.5 ms
64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=0.131 ms
64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=0.389 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=0.169 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=0.402 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=0.479 ms
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=0.402 ms
64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=0.127 ms
64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=0.716 ms
64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=0.407 ms
64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=22.1 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=0.302 ms
64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=0.347 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=0.156 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=0.436 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=0.412 ms
64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=0.415 ms
64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=0.136 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=0.456 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=0.407 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=0.197 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=0.202 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=0.192 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=12.5 ms
